,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.117,1.035,1.11,1.085,1.974,1.596,53.4,50.0,58.5,52.3,1.099,1.032,1.124,1.187,1.826,2.0,53.0,50.0,51.6,53.4
1,1.249,1.208,1.062,1.063,2.447,2.36,58.6,56.9,51.1,52.2,1.076,1.037,1.038,1.032,2.237,1.731,54.5,49.7,50.6,49.7
2,1.13,1.105,1.149,1.152,1.705,1.685,57.1,55.4,56.9,56.1,1.107,1.081,1.091,1.078,1.551,1.512,54.1,50.0,57.8,58.1
3,1.083,1.081,0.994,1.042,2.152,2.414,49.7,48.5,50.2,55.1,1.038,1.005,1.038,1.098,1.634,1.139,51.6,49.4,49.2,51.5
