,Home,Away,Year-Month-Day
2080,Detroit,New York,2017-03-11
2081,LA Clippers,Philadelphia,2017-03-11
2082,Dallas,Phoenix,2017-03-11
2083,Houston,Cleveland,2017-03-12
2084,Indiana,Miami,2017-03-12
2085,Boston,Chicago,2017-03-12
2086,Phoenix,Portland,2017-03-12
2087,Brooklyn,New York,2017-03-12
2088,LA Lakers,Philadelphia,2017-03-12
2089,Utah,LA Clippers,2017-03-13
2090,Minnesota,Washington,2017-03-13
2091,Memphis,Milwaukee,2017-03-13
2092,San Antonio,Atlanta,2017-03-13
2093,Toronto,Dallas,2017-03-13
2094,Charlotte,Chicago,2017-03-13
2095,Denver,LA Lakers,2017-03-13
2096,Sacramento,Orlando,2017-03-13
2097,Cleveland,Detroit,2017-03-14
2098,New York,Indiana,2017-03-14
2099,New Orleans,Portland,2017-03-14
2100,Brooklyn,Okla City,2017-03-14
2101,Golden State,Philadelphia,2017-03-14
2102,Detroit,Utah,2017-03-15
2103,Boston,Minnesota,2017-03-15
2104,Chicago,Memphis,2017-03-15
2105,LA Clippers,Milwaukee,2017-03-15
2106,Indiana,Charlotte,2017-03-15
2107,Washington,Dallas,2017-03-15
2108,Miami,New Orleans,2017-03-15
2109,San Antonio,Portland,2017-03-15
2110,Phoenix,Sacramento,2017-03-15
2111,Houston,LA Lakers,2017-03-15
2112,Cleveland,Utah,2017-03-16
2113,Denver,LA Clippers,2017-03-16
2114,Toronto,Okla City,2017-03-16
2115,Atlanta,Memphis,2017-03-16
2116,Golden State,Orlando,2017-03-16
2117,New York,Brooklyn,2017-03-16
2118,Detroit,Toronto,2017-03-17
2119,Miami,Minnesota,2017-03-17
2120,New Orleans,Houston,2017-03-17
2121,Washington,Chicago,2017-03-17
2122,LA Lakers,Milwaukee,2017-03-17
2123,Philadelphia,Dallas,2017-03-17
2124,Brooklyn,Boston,2017-03-17
2125,Phoenix,Orlando,2017-03-17
2126,LA Clippers,Cleveland,2017-03-18
2127,Memphis,San Antonio,2017-03-18
2128,Denver,Houston,2017-03-18
2129,Charlotte,Washington,2017-03-18
2130,Chicago,Utah,2017-03-18
2131,Atlanta,Portland,2017-03-18
2132,Golden State,Milwaukee,2017-03-18
2133,Okla City,Sacramento,2017-03-18
2134,Miami,Portland,2017-03-19
2135,Toronto,Indiana,2017-03-19
2136,Philadelphia,Boston,2017-03-19
2137,New Orleans,Minnesota,2017-03-19
2138,LA Lakers,Cleveland,2017-03-19
2139,San Antonio,Sacramento,2017-03-19
2140,Brooklyn,Dallas,2017-03-19
2141,Detroit,Phoenix,2017-03-19
2142,Okla City,Golden State,2017-03-20
2143,Boston,Washington,2017-03-20
2144,Indiana,Utah,2017-03-20
2145,Houston,Denver,2017-03-20
2146,Charlotte,Atlanta,2017-03-20
2147,LA Clippers,New York,2017-03-20
2148,Orlando,Philadelphia,2017-03-20
2149,New Orleans,Memphis,2017-03-21
2150,Minnesota,San Antonio,2017-03-21
2151,Portland,Milwaukee,2017-03-21
2152,Toronto,Chicago,2017-03-21
2153,Dallas,Golden State,2017-03-21
2154,LA Lakers,LA Clippers,2017-03-21
2155,Miami,Phoenix,2017-03-21
2156,Brooklyn,Detroit,2017-03-21
2157,Denver,Cleveland,2017-03-22
2158,Boston,Indiana,2017-03-22
2159,Washington,Atlanta,2017-03-22
2160,Sacramento,Milwaukee,2017-03-22
2161,Chicago,Detroit,2017-03-22
2162,Orlando,Charlotte,2017-03-22
2163,Utah,New York,2017-03-22
2164,Okla City,Philadelphia,2017-03-22
2165,Miami,Toronto,2017-03-23
2166,San Antonio,Memphis,2017-03-23
2167,Dallas,LA Clippers,2017-03-23
2168,Portland,New York,2017-03-23
2169,Brooklyn,Phoenix,2017-03-23
2170,Charlotte,Cleveland,2017-03-24
2171,Indiana,Denver,2017-03-24
2172,Milwaukee,Atlanta,2017-03-24
2173,Houston,New Orleans,2017-03-24
2174,Orlando,Detroit,2017-03-24
2175,LA Lakers,Minnesota,2017-03-24
2176,Golden State,Sacramento,2017-03-24
2177,Boston,Phoenix,2017-03-24
2178,Chicago,Philadelphia,2017-03-24
2179,Washington,Brooklyn,2017-03-24
2180,LA Clippers,Utah,2017-03-25
2181,Cleveland,Washington,2017-03-25
2182,Dallas,Toronto,2017-03-25
2183,Portland,Minnesota,2017-03-25
2184,San Antonio,New York,2017-03-25
2185,Houston,Okla City,2017-03-26
2186,Boston,Miami,2017-03-26
2187,Golden State,Memphis,2017-03-26
2188,Milwaukee,Chicago,2017-03-26
2189,Denver,New Orleans,2017-03-26
2190,LA Clippers,Sacramento,2017-03-26
2191,LA Lakers,Portland,2017-03-26
2192,Indiana,Philadelphia,2017-03-26
2193,Charlotte,Phoenix,2017-03-26
2194,Atlanta,Brooklyn,2017-03-26
2195,San Antonio,Cleveland,2017-03-27
2196,Dallas,Okla City,2017-03-27
2197,Utah,New Orleans,2017-03-27
2198,Sacramento,Memphis,2017-03-27
2199,New York,Detroit,2017-03-27
2200,Toronto,Orlando,2017-03-27
2201,Houston,Golden State,2017-03-28
2202,Portland,Denver,2017-03-28
2203,Charlotte,Milwaukee,2017-03-28
2204,Detroit,Miami,2017-03-28
2205,Indiana,Minnesota,2017-03-28
2206,LA Lakers,Washington,2017-03-28
2207,Brooklyn,Philadelphia,2017-03-28
2208,Atlanta,Phoenix,2017-03-28
2209,San Antonio,Golden State,2017-03-29
2210,LA Clippers,Washington,2017-03-29
2211,Boston,Milwaukee,2017-03-29
2212,Toronto,Charlotte,2017-03-29
2213,Memphis,Indiana,2017-03-29
2214,Sacramento,Utah,2017-03-29
2215,New York,Miami,2017-03-29
2216,Orlando,Okla City,2017-03-29
2217,Philadelphia,Atlanta,2017-03-29
2218,New Orleans,Dallas,2017-03-29
2219,Portland,Houston,2017-03-30
2220,Chicago,Cleveland,2017-03-30
2221,Phoenix,LA Clippers,2017-03-30
2222,Minnesota,LA Lakers,2017-03-30
2223,Detroit,Brooklyn,2017-03-30
2224,Okla City,San Antonio,2017-03-31
2225,Utah,Washington,2017-03-31
2226,Golden State,Houston,2017-03-31
2227,Charlotte,Denver,2017-03-31
2228,Toronto,Indiana,2017-03-31
2229,Milwaukee,Detroit,2017-03-31
2230,Memphis,Dallas,2017-03-31
2231,Miami,New York,2017-03-31
2232,Cleveland,Philadelphia,2017-03-31
2233,Boston,Orlando,2017-03-31
2234,New Orleans,Sacramento,2017-03-31
2235,Utah,Portland,2017-11-01
2236,New York,Houston,2017-11-01
2237,Memphis,Orlando,2017-11-01
2238,Charlotte,Milwaukee,2017-11-01
2239,New Orleans,Minnesota,2017-11-01
2240,Denver,Toronto,2017-11-01
2241,Cleveland,Indiana,2017-11-01
2242,Washington,Phoenix,2017-11-01
2243,LA Clippers,Dallas,2017-11-01
2244,Boston,Sacramento,2017-11-01
2245,Miami,Chicago,2017-11-01
2246,Philadelphia,Atlanta,2017-11-01
2247,San Antonio,Golden State,2017-11-02
2248,Portland,LA Lakers,2017-11-02
2249,Okla City,Boston,2017-11-03
2250,Utah,Toronto,2017-11-03
2251,San Antonio,Charlotte,2017-11-03
2252,Philadelphia,Indiana,2017-11-03
2253,Denver,Miami,2017-11-03
2254,Detroit,Milwaukee,2017-11-03
2255,Washington,Cleveland,2017-11-03
2256,Dallas,New Orleans,2017-11-03
2257,New York,Phoenix,2017-11-03
2258,Atlanta,Houston,2017-11-03
2259,LA Lakers,Brooklyn,2017-11-03
2260,Orlando,Chicago,2017-11-03
2261,Denver,Golden State,2017-11-04
2262,LA Clippers,Memphis,2017-11-04
2263,Chicago,New Orleans,2017-11-04
2264,Minnesota,Dallas,2017-11-04
2265,Detroit,Sacramento,2017-11-04
2266,Portland,Okla City,2017-11-05
2267,Minnesota,Charlotte,2017-11-05
2268,Houston,Utah,2017-11-05
2269,Toronto,Washington,2017-11-05
2270,Orlando,Boston,2017-11-05
2271,LA Clippers,Miami,2017-11-05
2272,LA Lakers,Memphis,2017-11-05
2273,New York,Indiana,2017-11-05
2274,San Antonio,Phoenix,2017-11-05
2275,Cleveland,Atlanta,2017-11-05
2276,Golden State,Miami,2017-11-06
2277,Atlanta,Boston,2017-11-06
2278,Phoenix,Brooklyn,2017-11-06
2279,San Antonio,LA Clippers,2017-11-07
2280,Portland,Memphis,2017-11-07
2281,Utah,Philadelphia,2017-11-07
2282,Cleveland,Milwaukee,2017-11-07
2283,New York,Charlotte,2017-11-07
2284,Indiana,New Orleans,2017-11-07
2285,Denver,Brooklyn,2017-11-07
2286,Toronto,Chicago,2017-11-07
2287,Washington,Dallas,2017-11-07
2288,Sacramento,Okla City,2017-11-07
2289,Golden State,Minnesota,2017-11-08
2290,Detroit,Indiana,2017-11-08
2291,Orlando,New York,2017-11-08
2292,Boston,LA Lakers,2017-11-08
2293,Phoenix,Miami,2017-11-08
2294,Denver,Okla City,2017-11-09
2295,Toronto,New Orleans,2017-11-09
2296,Washington,LA Lakers,2017-11-09
2297,Houston,Cleveland,2017-11-09
2298,Sacramento,Philadelphia,2017-11-09
2299,Okla City,LA Clippers,2017-11-10
2300,Boston,Charlotte,2017-11-10
2301,San Antonio,Milwaukee,2017-11-10
2302,Utah,Miami,2017-11-10
2303,Chicago,Indiana,2017-11-10
2304,Portland,Brooklyn,2017-11-10
2305,Detroit,Atlanta,2017-11-10
2306,Phoenix,Orlando,2017-11-10
2307,Houston,Memphis,2017-11-11
2308,New Orleans,LA Clippers,2017-11-11
2309,Denver,Orlando,2017-11-11
2310,Golden State,Philadelphia,2017-11-11
2311,Milwaukee,LA Lakers,2017-11-11
2312,Dallas,Cleveland,2017-11-11
2313,Phoenix,Minnesota,2017-11-11
2314,San Antonio,Chicago,2017-11-11
2315,Washington,Atlanta,2017-11-11
2316,Utah,Brooklyn,2017-11-11
2317,New York,Sacramento,2017-11-11
2318,Boston,Toronto,2017-11-12
2319,Indiana,Houston,2017-11-12
2320,Detroit,Miami,2017-11-12
2321,Okla City,Dallas,2017-11-12
2322,Portland,Denver,2017-11-13
2323,LA Clippers,Philadelphia,2017-11-13
2324,Milwaukee,Memphis,2017-11-13
2325,Utah,Minnesota,2017-11-13
2326,Golden State,Orlando,2017-11-13
2327,New York,Cleveland,2017-11-13
2328,Washington,Sacramento,2017-11-13
2329,New Orleans,Atlanta,2017-11-13
2330,Phoenix,LA Lakers,2017-11-13
2331,Houston,Toronto,2017-11-14
2332,Dallas,San Antonio,2017-11-14
2333,Brooklyn,Boston,2017-11-14
2334,Minnesota,San Antonio,2017-11-15
2335,Milwaukee,Detroit,2017-11-15
2336,Miami,Washington,2017-11-15
2337,New Orleans,Toronto,2017-11-15
2338,Portland,Orlando,2017-11-15
2339,Charlotte,Cleveland,2017-11-15
2340,Memphis,Indiana,2017-11-15
2341,LA Lakers,Philadelphia,2017-11-15
2342,New York,Utah,2017-11-15
2343,Okla City,Chicago,2017-11-15
2344,Atlanta,Sacramento,2017-11-15
2345,Boston,Golden State,2017-11-16
2346,Phoenix,Houston,2017-11-16
2347,San Antonio,Okla City,2017-11-17
2348,Cleveland,LA Clippers,2017-11-17
2349,Denver,New Orleans,2017-11-17
2350,Washington,Miami,2017-11-17
2351,Indiana,Detroit,2017-11-17
2352,Toronto,New York,2017-11-17
2353,Dallas,Minnesota,2017-11-17
2354,Brooklyn,Utah,2017-11-17
2355,Chicago,Charlotte,2017-11-17
2356,Sacramento,Portland,2017-11-17
2357,LA Lakers,Phoenix,2017-11-17
2358,Memphis,Houston,2017-11-18
2359,Philadelphia,Golden State,2017-11-18
2360,Charlotte,LA Clippers,2017-11-18
2361,Orlando,Utah,2017-11-18
2362,Atlanta,Boston,2017-11-18
2363,Dallas,Milwaukee,2017-11-18
2364,Portland,Sacramento,2017-11-18
2365,Minnesota,Detroit,2017-11-19
2366,Toronto,Washington,2017-11-19
2367,Miami,Indiana,2017-11-19
2368,LA Lakers,Denver,2017-11-19
2369,Brooklyn,Golden State,2017-11-19
2370,Phoenix,Chicago,2017-11-19
2371,Charlotte,Minnesota,2017-11-20
2372,Milwaukee,Washington,2017-11-20
2373,New Orleans,Okla City,2017-11-20
2374,Memphis,Portland,2017-11-20
2375,Detroit,Cleveland,2017-11-20
2376,Orlando,Indiana,2017-11-20
2377,New York,LA Clippers,2017-11-20
2378,Philadelphia,Utah,2017-11-20
2379,San Antonio,Atlanta,2017-11-20
2380,Sacramento,Denver,2017-11-20
2381,Dallas,Boston,2017-11-20
2382,LA Lakers,Chicago,2017-11-21
2383,Charlotte,Washington,2017-11-22
2384,Okla City,Golden State,2017-11-22
2385,New Orleans,San Antonio,2017-11-22
2386,Houston,Denver,2017-11-22
2387,Philadelphia,Portland,2017-11-22
2388,New York,Toronto,2017-11-22
2389,Minnesota,Orlando,2017-11-22
2390,Miami,Boston,2017-11-22
2391,Atlanta,LA Clippers,2017-11-22
2392,Cleveland,Brooklyn,2017-11-22
2393,Phoenix,Milwaukee,2017-11-22
2394,Memphis,Dallas,2017-11-22
2395,Utah,Chicago,2017-11-22
2396,Sacramento,LA Lakers,2017-11-22
2397,Okla City,Detroit,2017-11-24
2398,Indiana,Toronto,2017-11-24
2399,Cleveland,Charlotte,2017-11-24
2400,Minnesota,Miami,2017-11-24
2401,Denver,Memphis,2017-11-24
2402,Brooklyn,Portland,2017-11-24
2403,Boston,Orlando,2017-11-24
2404,Phoenix,New Orleans,2017-11-24
2405,Atlanta,New York,2017-11-24
2406,Golden State,Chicago,2017-11-24
2407,Charlotte,San Antonio,2017-11-25
2408,Indiana,Boston,2017-11-25
2409,Washington,Portland,2017-11-25
2410,Golden State,New Orleans,2017-11-25
2411,Utah,Milwaukee,2017-11-25
2412,Dallas,Okla City,2017-11-25
2413,Houston,New York,2017-11-25
2414,Sacramento,LA Clippers,2017-11-25
2415,Philadelphia,Orlando,2017-11-25
2416,Atlanta,Toronto,2017-11-25
2417,Memphis,Brooklyn,2017-11-26
2418,Minnesota,Phoenix,2017-11-26
2419,Chicago,Miami,2017-11-26
2420,Philadelphia,Cleveland,2017-11-27
2421,Boston,Detroit,2017-11-27
2422,New York,Portland,2017-11-27
2423,LA Clippers,LA Lakers,2017-11-27
2424,San Antonio,Dallas,2017-11-27
2425,Indiana,Orlando,2017-11-27
2426,Houston,Brooklyn,2017-11-27
2427,Golden State,Sacramento,2017-11-27
2428,Minnesota,Washington,2017-11-28
2429,Utah,Denver,2017-11-28
2430,Cleveland,Miami,2017-11-28
2431,Sacramento,Milwaukee,2017-11-28
2432,Chicago,Phoenix,2017-11-28
2433,Philadelphia,Washington,2017-11-29
2434,New Orleans,Minnesota,2017-11-29
2435,Orlando,Okla City,2017-11-29
2436,Houston,Indiana,2017-11-29
2437,San Antonio,Memphis,2017-11-29
2438,Toronto,Charlotte,2017-11-29
2439,New York,Miami,2017-11-29
2440,LA Lakers,Golden State,2017-11-29
2441,Dallas,Brooklyn,2017-11-29
2442,Detroit,Phoenix,2017-11-29
2443,LA Clippers,Utah,2017-11-30
2444,Boston,Philadelphia,2017-11-30
2445,Portland,Milwaukee,2017-11-30
2446,Atlanta,Cleveland,2017-11-30
2447,Denver,Chicago,2017-11-30
2448,Washington,Detroit,2017-11-31
2449,Okla City,Minnesota,2017-11-31
2450,Memphis,San Antonio,2017-11-31
2451,Utah,New Orleans,2017-11-31
2452,Miami,Charlotte,2017-11-31
2453,Toronto,Indiana,2017-11-31
2454,Orlando,Golden State,2017-11-31
2455,Chicago,Sacramento,2017-11-31
2456,Washington,Detroit,2017-12-01
2457,Okla City,Minnesota,2017-12-01
2458,Memphis,San Antonio,2017-12-01
2459,Utah,New Orleans,2017-12-01
2460,Miami,Charlotte,2017-12-01
2461,Toronto,Indiana,2017-12-01
2462,Orlando,Golden State,2017-12-01
2463,Chicago,Sacramento,2017-12-01
2464,Philadelphia,Detroit,2017-12-02
2465,Portland,New Orleans,2017-12-02
2466,Dallas,LA Clippers,2017-12-02
2467,Cleveland,Memphis,2017-12-02
2468,Denver,LA Lakers,2017-12-02
2469,Milwaukee,Sacramento,2017-12-02
2470,Brooklyn,Atlanta,2017-12-02
2471,Boston,Phoenix,2017-12-02
2472,Okla City,San Antonio,2017-12-03
2473,Miami,Golden State,2017-12-03
2474,Minnesota,LA Clippers,2017-12-03
2475,LA Lakers,Houston,2017-12-03
2476,New York,Orlando,2017-12-03
2477,San Antonio,Detroit,2017-12-04
2478,Utah,Washington,2017-12-04
2479,New Orleans,Golden State,2017-12-04
2480,Memphis,Minnesota,2017-12-04
2481,Boston,Milwaukee,2017-12-04
2482,Dallas,Denver,2017-12-04
2483,Charlotte,Orlando,2017-12-04
2484,Indiana,New York,2017-12-04
2485,Atlanta,Brooklyn,2017-12-04
2486,Chicago,Cleveland,2017-12-04
2487,Philadelphia,Phoenix,2017-12-04
2488,Okla City,Utah,2017-12-05
2489,Portland,Washington,2017-12-05
2490,Toronto,Phoenix,2017-12-05
2491,Milwaukee,Detroit,2017-12-06
2492,Charlotte,Golden State,2017-12-06
2493,LA Clippers,Minnesota,2017-12-06
2494,San Antonio,Miami,2017-12-06
2495,New Orleans,Denver,2017-12-06
2496,New York,Memphis,2017-12-06
2497,Boston,Dallas,2017-12-06
2498,Cleveland,Sacramento,2017-12-06
2499,Orlando,Atlanta,2017-12-06
2500,Indiana,Chicago,2017-12-06
2501,Utah,Houston,2017-12-07
2502,Brooklyn,Okla City,2017-12-07
2503,Phoenix,Washington,2017-12-07
2504,Philadelphia,LA Lakers,2017-12-07
2505,San Antonio,Boston,2017-12-08
2506,Detroit,Golden State,2017-12-08
2507,Indiana,Cleveland,2017-12-08
2508,Memphis,Toronto,2017-12-08
2509,Orlando,Denver,2017-12-08
2510,Milwaukee,Dallas,2017-12-08
2511,New Orleans,Sacramento,2017-12-08
2512,Charlotte,Chicago,2017-12-08
2513,Cleveland,Philadelphia,2017-12-09
2514,Milwaukee,Utah,2017-12-09
2515,Portland,Houston,2017-12-09
2516,Memphis,Okla City,2017-12-09
2517,LA Clippers,Washington,2017-12-09
2518,Brooklyn,Miami,2017-12-09
2519,Phoenix,San Antonio,2017-12-09
2520,Charlotte,LA Lakers,2017-12-09
2521,Atlanta,Orlando,2017-12-09
2522,Chicago,New York,2017-12-09
2523,Detroit,Boston,2017-12-10
2524,New Orleans,Philadelphia,2017-12-10
2525,Indiana,Denver,2017-12-10
2526,Minnesota,Dallas,2017-12-10
2527,Sacramento,Toronto,2017-12-10
2528,New York,Atlanta,2017-12-10
2529,Okla City,Charlotte,2017-12-11
2530,Golden State,Portland,2017-12-11
2531,LA Clippers,Toronto,2017-12-11
2532,Memphis,Miami,2017-12-11
2533,Houston,New Orleans,2017-12-11
2534,Chicago,Boston,2017-12-11
2535,Minnesota,Philadelphia,2017-12-12
2536,Detroit,Denver,2017-12-12
2537,Dallas,San Antonio,2017-12-12
2538,Brooklyn,Washington,2017-12-12
2539,Cleveland,Atlanta,2017-12-12
2540,New York,LA Lakers,2017-12-12
2541,Sacramento,Phoenix,2017-12-12
2542,Boston,Denver,2017-12-13
2543,Indiana,Okla City,2017-12-13
2544,New Orleans,Milwaukee,2017-12-13
2545,Miami,Portland,2017-12-13
2546,Washington,Memphis,2017-12-13
2547,Houston,Charlotte,2017-12-13
2548,Orlando,LA Clippers,2017-12-13
2549,Chicago,Utah,2017-12-13
2550,Phoenix,Toronto,2017-12-13
2551,Cleveland,LA Lakers,2017-12-14
2552,Brooklyn,New York,2017-12-14
2553,Atlanta,Detroit,2017-12-14
2554,Golden State,Dallas,2017-12-14
2555,Minnesota,Sacramento,2017-12-14
2556,Philadelphia,Okla City,2017-12-15
2557,Houston,San Antonio,2017-12-15
2558,Boston,Utah,2017-12-15
2559,Indiana,Detroit,2017-12-15
2560,Denver,New Orleans,2017-12-15
2561,Washington,LA Clippers,2017-12-15
2562,Charlotte,Miami,2017-12-15
2563,Orlando,Portland,2017-12-15
2564,Toronto,Brooklyn,2017-12-15
2565,Milwaukee,Chicago,2017-12-15
2566,Memphis,Atlanta,2017-12-15
2567,Cleveland,Utah,2017-12-16
2568,New York,Okla City,2017-12-16
2569,Charlotte,Portland,2017-12-16
2570,Memphis,Boston,2017-12-16
2571,San Antonio,Dallas,2017-12-16
2572,Houston,Milwaukee,2017-12-16
2573,Miami,LA Clippers,2017-12-16
2574,Minnesota,Phoenix,2017-12-16
2575,Washington,Cleveland,2017-12-17
2576,Brooklyn,Indiana,2017-12-17
2577,Detroit,Orlando,2017-12-17
2578,Toronto,Sacramento,2017-12-17
2579,Minnesota,Portland,2017-12-18
2580,Indiana,Boston,2017-12-18
2581,Okla City,Denver,2017-12-18
2582,Houston,Utah,2017-12-18
2583,San Antonio,LA Clippers,2017-12-18
2584,Charlotte,New York,2017-12-18
2585,LA Lakers,Golden State,2017-12-18
2586,Chicago,Philadelphia,2017-12-18
2587,Atlanta,Miami,2017-12-18
2588,Dallas,Phoenix,2017-12-18
2589,Milwaukee,Cleveland,2017-12-19
2590,Washington,New Orleans,2017-12-19
2591,Philadelphia,Sacramento,2017-12-19
2592,Portland,San Antonio,2017-12-20
2593,Okla City,Utah,2017-12-20
2594,Denver,Minnesota,2017-12-20
2595,Charlotte,Toronto,2017-12-20
2596,Boston,Miami,2017-12-20
2597,Dallas,Detroit,2017-12-20
2598,Atlanta,Indiana,2017-12-20
2599,Golden State,Memphis,2017-12-20
2600,Houston,LA Lakers,2017-12-20
2601,LA Clippers,Phoenix,2017-12-20
2602,Chicago,Orlando,2017-12-20
2603,Brooklyn,Sacramento,2017-12-20
2604,Utah,San Antonio,2017-12-21
2605,Philadelphia,Toronto,2017-12-21
2606,New York,Boston,2017-12-21
2607,Cleveland,Chicago,2017-12-21
2608,Phoenix,Memphis,2017-12-21
2609,Portland,Denver,2017-12-22
2610,Detroit,New York,2017-12-22
2611,Milwaukee,Charlotte,2017-12-22
2612,Brooklyn,Washington,2017-12-22
2613,Orlando,New Orleans,2017-12-22
2614,Miami,Dallas,2017-12-22
2615,Houston,LA Clippers,2017-12-22
2616,Golden State,LA Lakers,2017-12-22
2617,Okla City,Atlanta,2017-12-22
2618,Utah,Okla City,2017-12-23
2619,Golden State,Denver,2017-12-23
2620,Miami,New Orleans,2017-12-23
2621,LA Lakers,Portland,2017-12-23
2622,Charlotte,Milwaukee,2017-12-23
2623,Toronto,Philadelphia,2017-12-23
2624,Memphis,LA Clippers,2017-12-23
2625,Sacramento,San Antonio,2017-12-23
2626,Phoenix,Minnesota,2017-12-23
2627,Washington,Orlando,2017-12-23
2628,Indiana,Brooklyn,2017-12-23
2629,Atlanta,Dallas,2017-12-23
2630,Boston,Chicago,2017-12-23
2631,Okla City,Houston,2017-12-25
2632,Boston,Washington,2017-12-25
2633,Golden State,Cleveland,2017-12-25
2634,LA Lakers,Minnesota,2017-12-25
2635,New York,Philadelphia,2017-12-25
2636,Denver,Utah,2017-12-26
2637,Detroit,Indiana,2017-12-26
2638,Dallas,Toronto,2017-12-26
2639,San Antonio,Brooklyn,2017-12-26
2640,Milwaukee,Chicago,2017-12-26
2641,LA Clippers,Sacramento,2017-12-26
2642,Miami,Orlando,2017-12-26
2643,Phoenix,Memphis,2017-12-26
2644,Okla City,Toronto,2017-12-27
2645,Minnesota,Denver,2017-12-27
2646,Charlotte,Boston,2017-12-27
2647,Golden State,Utah,2017-12-27
2648,New Orleans,Brooklyn,2017-12-27
2649,Atlanta,Washington,2017-12-27
2650,Indiana,Dallas,2017-12-27
2651,Sacramento,Cleveland,2017-12-27
2652,Chicago,New York,2017-12-27
2653,LA Lakers,Memphis,2017-12-27
2654,Boston,Houston,2017-12-28
2655,Milwaukee,Minnesota,2017-12-28
2656,Portland,Philadelphia,2017-12-28
2657,San Antonio,New York,2017-12-28
2658,Orlando,Detroit,2017-12-28
2659,Washington,Houston,2017-12-29
2660,Okla City,Milwaukee,2017-12-29
2661,LA Lakers,LA Clippers,2017-12-29
2662,New Orleans,Dallas,2017-12-29
2663,Golden State,Charlotte,2017-12-29
2664,Chicago,Indiana,2017-12-29
2665,Miami,Brooklyn,2017-12-29
2666,Toronto,Atlanta,2017-12-29
2667,Sacramento,Phoenix,2017-12-29
2668,Detroit,San Antonio,2017-12-30
2669,Utah,Cleveland,2017-12-30
2670,Denver,Philadelphia,2017-12-30
2671,New Orleans,New York,2017-12-30
2672,Atlanta,Portland,2017-12-30
2673,Orlando,Miami,2017-12-30
2674,Golden State,Memphis,2017-12-30
2675,Indiana,Minnesota,2017-12-31
2676,LA Clippers,Charlotte,2017-12-31
2677,Okla City,Dallas,2017-12-31
2678,Boston,Brooklyn,2017-12-31
2679,Washington,Chicago,2017-12-31
2680,Houston,LA Lakers,2017-12-31
2681,Phoenix,Philadelphia,2017-12-31
2682,Sacramento,Memphis,2017-12-31
2683,Toronto,Milwaukee,2018-01-01
2684,Chicago,Portland,2018-01-01
2685,Minnesota,LA Lakers,2018-01-01
2686,Brooklyn,Orlando,2018-01-01
2687,Cleveland,Portland,2018-01-02
2688,New York,San Antonio,2018-01-02
2689,LA Clippers,Memphis,2018-01-02
2690,Sacramento,Charlotte,2018-01-02
2691,Phoenix,Atlanta,2018-01-02
2692,Boston,Cleveland,2018-01-03
2693,Philadelphia,San Antonio,2018-01-03
2694,Utah,New Orleans,2018-01-03
2695,Miami,Detroit,2018-01-03
2696,Dallas,Golden State,2018-01-03
2697,Milwaukee,Indiana,2018-01-03
2698,Brooklyn,Minnesota,2018-01-03
2699,LA Lakers,Okla City,2018-01-03
2700,Washington,New York,2018-01-03
2701,Chicago,Toronto,2018-01-03
2702,Orlando,Houston,2018-01-03
2703,Denver,Phoenix,2018-01-03
2704,Houston,Golden State,2018-01-04
2705,LA Clippers,Okla City,2018-01-04
2706,Boston,Minnesota,2018-01-05
2707,Milwaukee,Toronto,2018-01-05
2708,Philadelphia,Detroit,2018-01-05
2709,Denver,Utah,2018-01-05
2710,Memphis,Washington,2018-01-05
2711,Miami,New York,2018-01-05
2712,LA Lakers,Charlotte,2018-01-05
2713,Portland,Atlanta,2018-01-05
2714,San Antonio,Phoenix,2018-01-05
2715,Dallas,Chicago,2018-01-05
2716,Minnesota,New Orleans,2018-01-06
2717,Detroit,Houston,2018-01-06
2718,LA Clippers,Golden State,2018-01-06
2719,Washington,Milwaukee,2018-01-06
2720,Brooklyn,Boston,2018-01-06
2721,Orlando,Cleveland,2018-01-06
2722,Sacramento,Denver,2018-01-06
2723,Indiana,Chicago,2018-01-06
2724,Portland,San Antonio,2018-01-07
2725,Miami,Utah,2018-01-07
2726,Dallas,New York,2018-01-07
2727,Phoenix,Okla City,2018-01-07
2728,LA Lakers,Atlanta,2018-01-07
2729,Minnesota,Cleveland,2018-01-08
2730,New Orleans,Detroit,2018-01-08
2731,Golden State,Denver,2018-01-08
2732,Indiana,Milwaukee,2018-01-08
2733,Brooklyn,Toronto,2018-01-08
2734,Chicago,Houston,2018-01-08
2735,Sacramento,San Antonio,2018-01-08
2736,LA Clippers,Atlanta,2018-01-08
2737,Okla City,Portland,2018-01-09
2738,Toronto,Miami,2018-01-09
2739,Dallas,Orlando,2018-01-09
2740,LA Lakers,Sacramento,2018-01-09
2741,Minnesota,Okla City,2018-01-10
2742,Houston,Portland,2018-01-10
2743,Washington,Utah,2018-01-10
2744,Memphis,New Orleans,2018-01-10
2745,Golden State,LA Clippers,2018-01-10
2746,Brooklyn,Detroit,2018-01-10
2747,Indiana,Miami,2018-01-10
2748,Charlotte,Dallas,2018-01-10
2749,Denver,Atlanta,2018-01-10
2750,Milwaukee,Orlando,2018-01-10
2751,New York,Chicago,2018-01-10
2752,Philadelphia,Boston,2018-01-11
2753,Toronto,Cleveland,2018-01-11
2754,LA Lakers,San Antonio,2018-01-11
2755,Sacramento,LA Clippers,2018-01-11
2756,Indiana,Cleveland,2018-01-12
2757,Milwaukee,Golden State,2018-01-12
2758,New Orleans,Portland,2018-01-12
