,0,1,2,3,4,5
0,120.0,100.0,117.46324575551625,109.70276484820359,121.57769583119818,111.92806072188958
1,119.0,111.0,116.0654476381419,113.72711927627182,118.6656930121722,113.36509187657055
2,131.0,125.0,113.90779335545629,113.49455317850502,114.43085862911268,118.07164333073595
3,117.0,109.0,114.50301177940344,112.81880165953464,115.48654355951692,116.39043397444787
4,117.0,109.0,115.71065024771059,109.30866147318598,117.05590994749815,113.85792722042248
5,114.0,105.0,116.15494290005721,112.13139635556229,116.59719654343779,112.17691792611181
6,119.0,111.0,118.85113531254194,111.78571223521288,120.34315893218137,112.01427262245733
7,116.0,120.0,123.27212083875307,115.93305725643094,125.54308542383563,114.58349205667804
8,129.0,133.0,117.65777982678713,108.74354449456455,118.16526744546994,111.43621635479712
9,117.0,116.0,111.93495849028945,115.56879051258127,112.85476434340183,114.77393184829513
10,99.0,117.0,111.72967609246697,115.84755549411874,112.66644512794844,116.58490032675702
11,139.0,119.0,118.22060438314574,111.21555498226496,119.89070421967877,113.48929707642235
12,121.0,122.0,118.6820508934493,109.22042711350046,121.35720883196164,110.44783377951823
13,107.0,96.0,118.7334257434991,107.9550120522262,118.26791688337273,107.35495237403045
14,96.0,123.0,112.31033154599821,112.64752257447982,113.40775490348668,112.20637938037417
15,100.0,121.0,118.11872410606318,112.79527876652361,121.88231132248768,119.57543208511672
16,96.0,105.0,111.06449130759971,115.63338714579842,111.74888948054823,114.20261300949407
17,111.0,116.0,118.94143736144079,112.27671632233655,121.48262537568318,114.11486614301033
18,128.0,135.0,114.57009800621925,112.90342173504429,114.00843368894992,112.95650853700894
19,120.0,101.0,118.7289887506496,109.83728431426971,120.96379351677706,110.16197230587002
20,121.0,108.0,115.24134794610065,111.03872609701921,115.29732794545822,110.25307829055728
21,92.0,103.0,113.23066313702897,111.86517706805995,116.99655301571404,117.04815825740907
22,121.0,106.0,117.70949224793868,111.72065158946018,119.51341671211586,114.5377832128138
23,92.0,81.0,113.11167967607706,112.38063641177021,115.42186712914666,117.57931708085336
24,110.0,101.0,119.49137862584405,112.42516184063186,121.85918800016023,114.95234931281581
25,112.0,122.0,114.22627481701024,111.22095540535922,115.73215128773093,116.86500518563125
26,119.0,130.0,117.17952488671719,112.3711048695845,118.3076419407225,116.20385870857137
27,116.0,100.0,115.12232507224094,112.61878112856066,117.37606828728512,113.98031964679426
28,95.0,133.0,112.3385832436305,118.18260632557406,113.72026208152309,118.0039194663012
29,130.0,111.0,116.25647558887893,112.02053775189422,116.18540173963649,115.52310317696076
30,110.0,116.0,112.16955584992643,110.7657695548708,114.91368242539716,115.7229005112567
